# Sources: hermitdave/FrequencyWords (https://github.com/hermitdave/FrequencyWords)
#          + enwiki-latest-all-titles-in-ns0 (https://dumps.wikimedia.org/enwiki/latest/)
# Licences: CC-BY-SA 4.0 (both sources).
# Methodology: en_50k word counts merged with enwiki title-token counts (each unique
#   word per title contributes count=1). All entries pass en_ok: must be /usr/share/dict
#   lowercase entry, not in EN_BLOCK / EN_NAME_BLOCK. ~85k unique lemmas after filter.
#   Wiki contribution mostly populates rank 30k+ with domain-specific rare vocabulary
#   (medical/legal/scientific/etymological). Two slices are emitted: en.probes.tsv
#   (Stage 1+2, ranks ~50–60000) and en.rare.tsv (Stage 3, ranks 15000–60000).
# Curated probe subset for /vocab level test (vocabulary size estimation, testyourvocab-style).
# Format: rank<TAB>word<TAB>pos<TAB>note   (pos/note optional, currently empty)
rank	word	pos	note
50	give		
52	thank		
54	even		
56	sure		
58	first		
60	life		
62	day		
64	anything		
66	nothing		
69	work		
71	again		
74	maybe		
77	stop		
79	wait		
82	home		
85	away		
88	last		
92	always		
95	leave		
98	house		
102	ever		
106	big		
109	girl		
113	believe		
118	coming		
122	left		
126	three		
131	list		
136	might		
141	show		
146	else		
151	care		
156	looking		
162	family		
168	trying		
174	saw		
180	move		
187	ready		
194	door		
201	days		
208	since		
215	bring		
223	play		
231	ago		
240	die		
248	hand		
257	doctor		
267	person		
276	exactly		
287	hit		
297	game		
308	dear		
319	children		
330	side		
342	blood		
355	able		
368	front		
381	bye		
395	send		
409	street		
424	lose		
439	top		
455	serious		
472	hair		
489	laughing		
507	land		
525	worked		
544	drop		
564	chief		
584	age		
605	space		
627	mouth		
650	international		
674	letter		
698	bought		
724	center		
750	difficult		
777	mess		
805	division		
834	apartment		
865	beer		
896	experience		
928	usually		
962	stone		
997	herself		
1033	heavy		
1071	however		
1110	simply		
1150	plus		
1191	account		
1235	credit		
1279	forgotten		
1326	wash		
1374	lower		
1424	palace		
1475	contract		
1529	ruined		
1584	goodness		
1642	violence		
1701	butt		
1763	text		
1827	tip		
1893	progress		
1962	squad		
2033	writer		
2107	grass		
2183	alpha		
2263	underground		
2345	possibility		
2430	pedro		
2518	pipe		
2609	someplace		
2704	classes		
2802	facing		
2904	casino		
3009	blonde		
3118	remarkable		
3231	treating		
3348	niece		
3470	arrival		
3596	lodge		
3726	assigned		
3861	arrangement		
4001	hooker		
4146	canton		
4297	hint		
4452	cope		
4614	breakdown		
4781	tuck		
4955	spaghetti		
5134	injection		
5321	drone		
5514	gospel		
5714	strangely		
5921	juicy		
6136	plum		
6358	vector		
6589	hump		
6828	harness		
7075	goo		
7332	prehistoric		
7598	confederation		
7874	subpoena		
8159	disciple		
8455	zodiac		
8762	homestead		
9080	stingy		
9409	tormented		
9750	malt		
10104	ordinance		
10470	paternity		
10850	tink		
11244	alchemy		
11651	suppression		
12074	tiff		
12512	seducing		
12966	ducking		
13436	apartheid		
13923	fraudulent		
14428	pane		
14952	minion		
15494	tariff		
16056	vassal		
16638	debatable		
17242	guidebook		
17867	incidence		
18515	exchequer		
19187	hypotheses		
19883	cardamom		
20604	aquaculture		
21351	protracted		
22126	denote		
22928	ophthalmology		
23760	lactone		
24622	estrange		
25515	monad		
26440	pharos		
27399	fono		
28393	counterstrike		
29423	cony		
30490	suttle		
31596	deicide		
32742	nearness		
33930	chilver		
35160	balsamroot		
36436	pounamu		
37757	masonite		
39127	fulminate		
40546	sodic		
42016	toatoa		
43540	hafter		
45120	optation		
46756	malefactor		
48452	sthenia		
50209	glyptic		
52031	hinger		
53918	splenium		
55873	cephalometric		
57900	hectograph		
60000	uncorrect		
