# Sources: hermitdave/FrequencyWords (https://github.com/hermitdave/FrequencyWords)
#          + enwiki-latest-all-titles-in-ns0 (https://dumps.wikimedia.org/enwiki/latest/)
# Licences: CC-BY-SA 4.0 (both sources).
# Methodology: en_50k word counts merged with enwiki title-token counts (each unique
#   word per title contributes count=1). All entries pass en_ok: must be /usr/share/dict
#   lowercase entry, not in EN_BLOCK / EN_NAME_BLOCK. ~85k unique lemmas after filter.
#   Wiki contribution mostly populates rank 30k+ with domain-specific rare vocabulary
#   (medical/legal/scientific/etymological). Two slices are emitted: en.probes.tsv
#   (Stage 1+2, ranks ~50–60000) and en.rare.tsv (Stage 3, ranks 15000–60000).
# Curated probe subset for /vocab level test (vocabulary size estimation, testyourvocab-style).
# Format: rank<TAB>word<TAB>pos<TAB>note   (pos/note optional, currently empty)
rank	word	pos	note
20098	diode		
20239	unsubstantiated		
20380	reorganize		
20523	expedient		
20666	undercarriage		
20811	modicum		
20956	punky		
21103	oolong		
21250	seeped		
21399	revulsion		
21548	protester		
21699	philanderer		
21851	loyally		
22003	tizzy		
22157	pyrotechnics		
22312	lapped		
22468	rework		
22625	ropeway		
22783	fleeced		
22943	gudgeon		
23103	variegated		
23264	nestle		
23427	vagus		
23591	wattled		
23756	striated		
23922	hydrographic		
24089	polytechnical		
24257	whitestone		
24427	broadbill		
24598	rectifier		
24770	concave		
24943	wyke		
25117	halfpenny		
25293	speckle		
25470	soubise		
25648	holomorphic		
25827	stratus		
26008	stagnation		
26189	functionalism		
26372	imamate		
26557	blick		
26742	kaffir		
26929	chorionic		
27118	clarin		
27307	curragh		
27498	naphthol		
27690	heterocyclic		
27884	nonstandard		
28079	circumnavigation		
28275	wanty		
28473	feasibility		
28672	muhammadi		
28872	diffuser		
29074	cadenza		
29277	seconde		
29482	dicarboxylate		
29688	stylistics		
29896	fetishist		
30105	gumweed		
30315	muley		
30527	untailed		
30740	lipomatosis		
30955	trypanosomiasis		
31172	unary		
31390	smartweed		
31609	trochanter		
31830	whirly		
32053	anaplastic		
32277	hardtack		
32502	loomer		
32729	lustrous		
32958	brinjal		
33189	tampin		
33421	sconce		
33654	realness		
33890	bodger		
34126	roaster		
34365	sheriffdom		
34605	hispanidad		
34847	transalpine		
35091	amblyopia		
35336	soldo		
35583	monatomic		
35832	amphictyony		
36082	rabbinate		
36335	grison		
36589	compressibility		
36844	starthroat		
37102	presynaptic		
37361	esparto		
37622	banteng		
37886	desmoid		
38150	subaqueous		
38417	acquiescence		
38686	vulcanite		
38956	pudicitia		
39228	pentabromide		
39503	anadenia		
39779	orderable		
40057	combinate		
40337	girasole		
40619	retropharyngeal		
40903	anaphoric		
41189	roundness		
41477	curried		
41767	monzonite		
42059	oxyhydrogen		
42353	adiposity		
42649	bootmaker		
42947	tahua		
43247	mediumship		
43549	harmonically		
43854	monofilament		
44160	wisecrack		
44469	optative		
44780	weaverbird		
45093	cisplatine		
45408	muscled		
45726	gyrfalcon		
46045	leukocidin		
46367	polydipsia		
46691	ologist		
47018	endomysial		
47346	braca		
47677	hexammine		
48011	dowl		
48346	introgression		
48684	tendance		
49025	monocentric		
49367	pentagrammatic		
49712	twelvefold		
50060	airsickness		
50410	tucuma		
50762	brushland		
51117	clavate		
51474	dendrochronology		
51834	ethenol		
52197	overcup		
52562	irreversibly		
52929	transplanter		
53299	paintpot		
53672	reginal		
54047	tosy		
54425	cosmosophy		
54805	amylolytic		
55188	aviatrices		
55574	brighteyes		
55962	chilicothe		
56354	cotyloid		
56748	diglossia		
57144	threnos		
57544	frontbencher		
57946	heptadecane		
58351	intersociety		
58759	enfold		
59170	moneyer		
59583	orexis		
60000	uncorrect		
