# Source: NINJAL BCCWJ short-unit-word frequency list (https://clrd.ninjal.ac.jp/bccwj/freq-list.html)
# Licence: free for research/educational use (NINJAL public).
# Methodology: lemma-level frequency from the Balanced Corpus of Contemporary Written Japanese.
#   Filtered to content POS only (名詞-普通名詞-*, 動詞-一般, 形容詞-一般, 形状詞-*, 副詞, 連体詞);
#   all 固有名詞 (proper nouns), particles, auxiliaries, affixes, pronouns, numerals, and symbols
#   are dropped. Ranks are real BCCWJ frequency ranks.
# Curated probe subset for /vocab level test (vocabulary size estimation, testyourvocab-style).
# Format: rank<TAB>word<TAB>pos<TAB>note   (pos/note optional, currently empty)
rank	word	pos	note
18	言う		
29	その
35	この
46	思う		
61	因る		
74	そう		
81	どう		
85	つく		
87	自分		
92	考える		
97	場合		
100	持つ		
105	分かる		
110	出る		
112	行う		
113	取る		
127	問題		
128	必要		
129	対する		
130	使う		
134	時間		
135	聞く		
139	知る		
142	パーセント		
149	子供		
151	こう		
152	入る		
155	作る		
156	関係		
158	多い		
178	以上		
179	事業		
188	世界		
191	受ける		
192	人間		
195	良く		
196	生活		
198	同じ		
199	書く		
203	高い		
210	研究		
215	意味		
222	言葉		
232	仕事		
241	見える		
247	今日		
256	現在		
265	矢張り		
275	活動		
287	一寸		
299	相手		
304	強い		
315	先ず		
327	写真		
337	状態		
351	ページ		
362	開発		
374	説明		
388	新しい		
401	或る		
415	余り		
433	目的		
445	我が		
463	自由		
477	初めて		
496	都市		
513	午後		
531	向かう		
549	サービス		
569	名前		
588	産業		
609	増加		
630	加える		
656	働く		
676	基づく		
699	立てる		
724	自己		
750	年金		
776	現われる		
804	通信		
833	気付く		
861	設置		
892	危険		
923	一方		
956	申し上げる		
990	調整		
1025	大丈夫		
1062	学習		
1105	株式		
1137	チーム		
1178	軽い		
1219	児童		
1262	激しい		
1306	攻撃		
1352	取得		
1400	作用		
1451	インターネット		
1502	時点		
1554	集中		
1609	適切		
1666	残念		
1725	食う		
1785	鉄道		
1849	政権		
1916	観点		
1981	書類		
2051	自宅		
2124	願い		
2201	権力		
2276	協定		
2357	対処		
2440	入札		
2527	働き		
2617	パワー		
2708	込める		
2804	カレー		
2903	ピンク		
3005	商店		
3112	税金		
3221	積む		
3335	地面		
3453	光景		
3576	濡れる		
3703	平気		
3833	ワーク		
3968	解散		
4109	発明		
4254	検証		
4403	加速		
4558	移植		
4720	他者		
4887	類似		
5058	儀式		
5243	接近		
5424	普遍		
5614	垂直		
5814	余所		
6018	灰色		
6232	カーブ		
6449	引き付ける		
6679	分化		
6914	参謀		
7159	差し上げる		
7413	亭主		
7678	供養		
7943	上演		
8224	ボウル		
8520	処女		
8815	ピッチ		
9126	但し書き		
9452	前夜		
9788	埋め立て		
10135	キープ		
10499	スト		
10862	リトル		
11239	しなやか		
11643	下層		
12061	公家		
12492	傘下		
12921	争議		
13375	ノット		
13843	ギャグ		
14345	ばら蒔く		
14855	しゃがみ込む		
15373	ピエロ		
15908	うねり		
16500	エデン		
17088	上告		
17675	けじめ		
18284	ぶらんこ		
18926	くどい		
19640	ゴッド		
20279	さらに		
21025	あやかし		
21752	ごった返す		
22513	アプリ		
23362	あらまし		
24205	くっ		
25031	はにかむ		
25921	うろ覚え		
26819	フィー		
27715	こよなく		
28756	くす		
29866	べろ		
30929	ひ弱		
31850	しがない		
33093	ばてる		
34249	ぎく		
35495	こじつけ		
36830	からかい		
38018	いじける		
39331	かなぐり捨てる		
40712	ざらつく		
42317	だち		
43534	からっきし		
45354	あばら屋		
46897	えぐみ		
48526	たん瘤		
50308	がじゅまる		
