# Source: NINJAL BCCWJ short-unit-word frequency list (https://clrd.ninjal.ac.jp/bccwj/freq-list.html)
# Licence: free for research/educational use (NINJAL public).
# Methodology: lemma-level frequency from the Balanced Corpus of Contemporary Written Japanese.
#   Filtered to content POS only (名詞-普通名詞-*, 動詞-一般, 形容詞-一般, 形状詞-*, 副詞, 連体詞);
#   all 固有名詞 (proper nouns), particles, auxiliaries, affixes, pronouns, numerals, and symbols
#   are dropped. Ranks are real BCCWJ frequency ranks.
# Curated probe subset for /vocab level test (vocabulary size estimation, testyourvocab-style).
# Format: rank<TAB>word<TAB>pos<TAB>note   (pos/note optional, currently empty)
rank	word	pos	note
15029	がっくり		
15099	ねたばれ		
15192	ヒート		
15281	サック		
15373	ピエロ		
15467	エロ		
15590	低め		
15657	ぶっ		
15744	下腹		
15861	ぽかん		
15952	トレ		
16050	どき		
16130	スノー		
16228	ときめく		
16344	うつ伏せ		
16427	シップ		
16541	アル		
16660	びびる		
16751	ちらつく		
16839	ふわ		
16969	どん底		
17044	一昨日		
17174	ギフト		
17252	アクア		
17390	サリン		
17492	人家		
17572	ネガ		
17675	けじめ		
17769	せがむ		
17913	きょとん		
18003	わっ		
18137	ぷっ		
18228	べったり		
18338	ちらほら		
18449	コンペ		
18554	くすむ		
18668	ぱちり		
18774	ダリア		
18885	きもい		
19031	お釈迦		
19149	あやす		
19289	とっとと		
19341	一堂		
19521	そそくさ		
19584	ネル		
19699	アトム		
19828	ひたむき		
19963	上辺		
20079	下図		
20211	しゃくる		
20352	ぴい		
20422	けたたましい		
20571	か細い		
20688	ふわり		
20834	へばり付く		
20962	おなら		
21087	せせらぎ		
21233	テクノ		
21375	やんわり		
21456	なかんずく		
21605	ぷぷ		
21752	ごった返す		
21851	おひたし		
22003	きら		
22172	あさって		
22264	ふらり		
22422	ダイブ		
22513	アプリ		
22703	ざわめく		
22787	ソード		
22960	くぐもる		
23058	フー		
23276	ぱあ		
23362	あらまし		
23548	あやふや		
23643	びい		
23844	にっ		
23930	あどけない		
24118	にんまり		
24205	くっ		
24414	ざっくり		
24517	しぶとい		
24716	こんもり		
24837	どの道		
24935	レイ		
25140	はぐらかす		
25249	ぷう		
25457	サージ		
25563	でか		
25789	いかれる		
25921	うろ覚え		
26062	ずっしり		
26290	すっぽん		
26419	かち		
26540	ごろん		
26688	きん		
26819	フィー		
27064	かあ		
27197	ぐう		
27321	おっかない		
27578	か弱い		
27715	こよなく		
27846	かり		
28006	おんぼろ		
28145	ウー		
28444	はためく		
28602	きりり		
28756	くす		
28929	いみじい		
29077	ちんぷんかんぷん		
29235	ひょんな		
29380	あぐねる		
29677	ざあ		
29866	べろ		
30013	かか		
30189	いじらしい		
30382	かっか		
30546	からり		
30737	ざっくばらん		
30929	ひ弱		
31106	がば		
31288	ぎくり		
31463	があん		
31653	おじや		
31850	しがない		
32054	いわす		
32233	あわや		
32461	ぎっくり腰		
32666	いら		
32888	さっぱり		
33093	ばてる		
33296	ころ		
33531	くたばる		
33531	黴臭い		
33790	しかと		
34020	おしゃぶり		
34249	ぎく		
34476	ちょん		
34729	たんと		
34729	黴びる		
34999	こじる		
35238	どや		
35495	こじつけ		
35737	ざわ		
36002	おいそれと		
36275	ぐっしょり		
36275	魚籠		
36547	おまる		
36830	からかい		
37119	あわよくば		
37119	黒松		
37409	あんぐり		
37692	ちゃら		
38018	いじける		
38018	黄砂		
38345	あくどい		
38668	かじかむ		
38999	かなぶん		
38999	魔導		
39331	かなぐり捨てる		
39667	おかめ		
40017	あべこべ		
40341	ごねる		
40341	黒先		
40712	ざらつく		
41130	がら空き		
41130	黒雲		
41517	きつめ		
41905	おどろおどろしい		
41905	黒革		
42317	だち		
42317	鶴嘴		
42733	いちゃもん		
43114	いなす		
43114	高砂		
43534	からっきし		
43997	あぶれる		
43997	鼬ごっこ		
44441	うう		
44441	黴取り		
44910	えげつない		
45354	あばら屋		
45354	黒豹		
45860	あど		
45860	鼻声		
46371	いちゃつく		
46371	鼻梁		
46897	えぐみ		
46897	齲蝕		
47405	あいなめ		
47405	高嶺		
48002	いかす		
48002	黙想		
48526	たん瘤		
48526	黒檀		
49130	あいこ		
49682	あしらい		
49682	鼓笛		
50308	がじゅまる		
