# Source: hermitdave/FrequencyWords (https://github.com/hermitdave/FrequencyWords)
# Licence: CC-BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Curated probe subset for /vocab level test (vocabulary size estimation, testyourvocab-style).
# Methodology: combined corpus of OpenSubtitles ko_full.txt (688k eojeol+count) and the
#   kowiki-latest-all-titles-in-ns0 dump (~1.6M article titles). Both are morphologically
#   analyzed with kiwipiepy; for ko_full only the first content morpheme of each eojeol is
#   kept and reduced to dictionary form, while every NNG/NNB/VV/VA content morpheme inside
#   each Wikipedia title is counted (count=1 per title). Lemma forms: NNG/NNB → noun;
#   VV/VA/VX → stem+다; noun+XSV/XSA → noun+<suffix>다 where suffix is the literal 하/되
#   emitted by kiwipiepy; XR+XSV/XSA same; MAG/MAJ length≥2 → adverb. NNP (proper nouns)
#   and OOV NNG tokens are dropped — they are overwhelmingly subtitle character names or
#   typos. Counts are summed across sources; the resulting list is re-ranked by total
#   aggregated frequency. Two slices are emitted: ko.probes.tsv (rank ~50 to ko ceiling,
#   Stage 1+2 use) and ko.rare.tsv (rank 15000 to ko ceiling, Stage 3 dense upper-band
#   sampling). Korean per-lang ceiling is set to 45000 — see LANG_CEILING in _curate.py.
# Format: rank<TAB>word<TAB>pos<TAB>note   (pos/note optional, currently empty)
rank	word	pos	note
50	이름		
52	아이		
54	사랑하다		
55	계속		
57	제발		
59	선생		
61	닥터		
63	사랑		
66	떠나다		
68	들어가다		
70	얘기하다		
73	지방		
75	환자		
78	그만		
80	게임		
83	돌아오다		
86	국가		
89	수술		
92	전쟁		
95	죄송하다		
98	이야기		
102	항상		
105	잘못		
109	가장		
113	중요하다		
117	이제		
121	아침		
125	물론		
129	신경		
134	어쩌다		
138	의사		
143	대통령		
148	인간		
153	기분		
158	상황		
164	내일		
169	최고		
175	데리다		
181	따르다		
188	정보		
194	말씀		
201	지키다		
208	다르다		
215	거짓말		
222	위원회		
230	사진		
238	서로		
246	상태		
254	시스템		
263	안전하다		
272	배우다		
282	지구		
291	작전		
301	운동		
312	달리다		
323	그만하다		
334	데려오다		
345	나무		
357	완전히		
369	교회		
382	미래		
395	사회		
409	분명		
423	슈퍼		
438	어쩌면		
453	진심		
468	그룹		
485	갑자기		
501	대화		
519	평화		
536	아까		
555	즐기다		
574	이용하다		
594	태우다		
614	음반		
636	교통		
657	축구단		
680	국장		
704	상대		
728	구조		
753	용서하다		
779	엔터테인먼트		
806	재미있다		
834	음력		
862	예술		
892	동의하다		
923	고객		
955	식사		
987	파워		
1022	전하		
1057	비행		
1093	민족		
1131	서버		
1170	채널		
1210	상법		
1252	어른		
1295	페스티벌		
1340	올라오다		
1386	전문가		
1434	이미지		
1483	식물		
1534	시절		
1587	마침내		
1642	신화		
1699	메세지		
1757	열정		
1818	질병		
1880	공학		
1945	이스트		
2012	작별		
2082	아예		
2154	회담		
2228	지문		
2305	인사하다		
2384	어린애		
2466	세금		
2551	미팅		
2639	스마트		
2730	의문		
2824	미션		
2922	야마		
3023	침입하다		
3127	유혹		
3235	트렁크		
3346	지질		
3461	전장		
3581	무사히		
3704	신랑		
3832	아리다		
3964	피쉬		
4101	시나리오		
4242	규제		
4389	폴리		
4540	거품		
4696	컬렉션		
4858	핑계		
5026	세례		
5199	콤플렉스		
5378	지속되다		
5564	의존		
5756	개월		
5954	지표		
6159	우주인		
6372	학부모		
6592	강당		
6819	신비하다		
7054	발렌타인데이		
7297	수면제		
7549	고귀하다		
7809	고용되다		
8078	타일		
8357	해명		
8645	진화하다		
8943	파인애플		
9251	성생활		
9570	보도하다		
9900	가재		
10242	켤레		
10595	책자		
10960	징역		
11338	방황		
11729	우세		
12134	비롯하다		
12552	뒤덮다		
12985	철학과		
13432	목화		
13896	각서		
14375	트러플		
14870	봉사단		
15383	업데이트하다		
15914	동갑		
16462	출연시키다		
17030	분란		
17617	선발하다		
18225	수채화		
18853	고풍		
19503	넘나들다		
20176	편찬		
20871	승진시키다		
21591	출출하다		
22335	혼신		
23105	배임		
23902	보행기		
24726	망향		
25579	환호성		
26461	초동		
27373	성냥갑		
28317	달무리		
29293	패션모델		
30303	좌절시키다		
31348	배추흰나비		
32429	일치시키다		
33547	도사견		
34704	다가구		
35901	배송받다		
37139	창끝		
38419	강연자		
39744	궁형		
41114	각별		
42532	힘겨루기		
