# Source: hermitdave/FrequencyWords (https://github.com/hermitdave/FrequencyWords)
# Licence: CC-BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Curated probe subset for /vocab level test (vocabulary size estimation, testyourvocab-style).
# Methodology: combined corpus of OpenSubtitles ko_full.txt (688k eojeol+count) and the
#   kowiki-latest-all-titles-in-ns0 dump (~1.6M article titles). Both are morphologically
#   analyzed with kiwipiepy; for ko_full only the first content morpheme of each eojeol is
#   kept and reduced to dictionary form, while every NNG/NNB/VV/VA content morpheme inside
#   each Wikipedia title is counted (count=1 per title). Lemma forms: NNG/NNB → noun;
#   VV/VA/VX → stem+다; noun+XSV/XSA → noun+<suffix>다 where suffix is the literal 하/되
#   emitted by kiwipiepy; XR+XSV/XSA same; MAG/MAJ length≥2 → adverb. NNP (proper nouns)
#   and OOV NNG tokens are dropped — they are overwhelmingly subtitle character names or
#   typos. Counts are summed across sources; the resulting list is re-ranked by total
#   aggregated frequency. Two slices are emitted: ko.probes.tsv (rank ~50 to ko ceiling,
#   Stage 1+2 use) and ko.rare.tsv (rank 15000 to ko ceiling, Stage 3 dense upper-band
#   sampling). Korean per-lang ceiling is set to 45000 — see LANG_CEILING in _curate.py.
# Format: rank<TAB>word<TAB>pos<TAB>note   (pos/note optional, currently empty)
rank	word	pos	note
15000	양원		
15079	신주		
15158	미스터리하다		
15238	후속		
15318	불사하다		
15398	밀랍		
15479	암흑기		
15560	총학생회		
15642	골인		
15724	철칙		
15807	납골당		
15890	쪼이다		
15973	벌크		
16057	송진		
16141	어쿠스틱		
16226	아카펠라		
16311	뇌실		
16397	허기		
16483	잠적하다		
16569	루블		
16656	감응		
16744	광범위		
16832	헝겊		
16920	바인더		
17009	분묘		
17098	회개		
17188	근동		
17278	쉬엄쉬엄		
17369	깽판		
17460	전당포		
17552	판명되다		
17644	샌드백		
17737	근기		
17830	문학사		
17924	물리학과		
18018	행자		
18112	탐사하다		
18207	흡기		
18303	토종		
18399	성내다		
18496	미드필더		
18593	움파		
18690	팔짱		
18789	숨차다		
18887	희곡		
18986	훈련병		
19086	매각하다		
19186	목공		
19287	변천		
19388	번지르르		
19490	역정		
19593	태동		
19695	세차다		
19799	양성애자		
19903	반입하다		
20007	만평		
20112	행장		
20218	사조		
20324	집합시키다		
20431	리미트		
20538	파격		
20646	지킴이		
20754	총수		
20863	궁하다		
20973	청탁		
21083	굴참나무		
21194	시루		
21305	말조심		
21417	수임료		
21529	경비실		
21642	전시되다		
21756	분재		
21870	오트밀		
21985	번외		
22101	웨어러블		
22217	제관		
22333	보시기		
22451	임질		
22568	정실		
22687	보증인		
22806	결행하다		
22926	급식소		
23046	동결시키다		
23167	군왕		
23289	갯벌		
23411	오도		
23534	누차		
23658	고심		
23782	삭막하다		
23907	철문		
24032	외눈		
24159	증손		
24285	인류학자		
24413	연대장		
24541	애호		
24670	가을철		
24799	재실		
24930	제문		
25061	일장		
25192	일감		
25324	움찔		
25457	서양인		
25591	투숙객		
25726	분투하다		
25861	차표		
25996	찬탈		
26133	젓갈		
26270	에페드린		
26408	공업국		
26547	박두		
26686	최혜국		
26826	보조인		
26967	단돈		
27109	굴착하다		
27251	입영		
27394	원활하다		
27538	바구미		
27683	변방		
27828	주번		
27974	주름살		
28121	묵념하다		
28269	바게뜨		
28417	절리		
28566	단괴		
28716	산수유		
28867	중유		
29019	양껏		
29171	넓적하다		
29324	세배		
29478	주제곡		
29633	투닥거리다		
29789	도난되다		
29945	답사		
30102	탐방로		
30260	학부형		
30419	부역자		
30579	환기시키다		
30740	매립장		
30901	형사법		
31063	균전		
31226	문하		
31390	블루오션		
31555	오징어채		
31721	하학		
31887	양옆		
32055	아장아장		
32223	국산품		
32392	툴툴대다		
32562	추산하다		
32905	곰팡내		
33078	극장표		
33252	장려되다		
33426	밤송이		
33602	고발되다		
33778	축사하다		
33956	주조하다		
34134	종속시키다		
34313	으르다		
34493	당산		
34675	총사퇴		
34857	망인		
35040	사념		
35224	액티브엑스		
35409	자문사		
35595	편물		
35781	초주검		
36158	임차료		
36348	하달하다		
36539	겪다		
36731	번하다		
36924	빈도수		
37118	물빛		
37312	쏠쏠하다		
37508	콧구멍만하다		
37705	제적당하다		
37903	갱생시키다		
38102	경쟁업체		
38302	데뷔전		
38504	침강하다		
38706	늘그막		
38909	병구완		
39113	납입하다		
39319	병합하다		
39525	건교부		
39733	국화빵		
39941	녹말가루		
40362	문투		
40574	양란		
40787	삼종지도		
41001	스태그플레이션		
41216	에토스		
41433	운송업		
41650	자모회		
41869	온난기		
42089	카셰어링		
42310	프리지어		
42532	힘겨루기		
